id;dateTime;aaerNo;releaseNo;respondents;respondentsText;urls;fraud_start;fraud_end;cik;revoked;certainty_start;certainty_end;17a;17a2;17a3;17b;5a;5b1;5c;10b;13a;12b20;12b25;13a1;13a10;13a11;13a13;13a14;13a16;13b2A;13b2B;13a15;13b5;14a;14c;19a;30A;100a2;100b;105c7B;corruption;amis;fsf
5c304ac8f5a4b721a7b7f963d50e0f29;2023-11-22T11:15:50-05:00;AAER-4474;LR-25902;SAExploration Holdings, Inc., et al.;SAExploration Holdings, Inc., et al.;https://www.sec.gov/enforcement-litigation/litigation-releases/lr-25902, https://www.sec.gov/files/litigation/complaints/2023/comp25902.pdf, https://www.sec.gov/files/litigation/apdocuments/comp25902-amended.pdf, https://www.sec.gov/files/litigation/litreleases/2023/judg25902-beatty.pdf, https://www.sec.gov/files/litigation/litreleases/2023/judg25902-saexplorationholdings.pdf;02-2015;08-2019;1514732;0;1;1;1;1;1;;;;;1;1;1;;1;;1;1;;;1;1;0;0;0;;;0;;0;;0;1;1
;2023-08-15T12:​34:​52Z;AAER-4440;33-11222, 34-98131;Ault Alliance, Inc;Ault Alliance, Inc;https://www.sec.gov/files/litigation/admin/2023/33-11222.pdf;01-2016;12-2021;896493;0;0;0;0;1;1;;;;;0;1;1;;1;;1;1;;;1;1;1;0;1;;;0;;0;;0;1;1
e60cbdc4752a78bb1a4c9fee84b562ed;2023-02-22T08:28:37-05:00;AAER-4377;34-96960;African Gold Acquisition Corp.;African Gold Acquisition Corp.;https://www.sec.gov/files/litigation/admin/2023/34-96960.pdf;03-2021;09-2022;1833909;0;1;0;0;0;0;;;;;0;1;1;;1;;;1;;;1;1;1;0;0;;;0;;0;;0;1;1
cd19e8e2ebc2605cc178386e26ce4aab;2021-11-22T08:27:15-05:00;AAER-4268;33-11008, 34-93645;ProPetro Holding Corp., Dale Redman;ProPetro Holding Corp. and Dale Redman;https://www.sec.gov/files/litigation/admin/2021/33-11008.pdf;01-2017;01-2019;1680247;0;1;0;0;0;0;;;;;0;1;1;;1;;;;;;1;1;0;0;1;;;0;;0;;0;1;1
b43480f73d21fe70dc2c11c0f9e0d72d;2017-01-18T08:24:41-05:00;AAER-3849;33-10283, 34-79823;MDC Partners Inc.;MDC Partners Inc.;https://www.sec.gov/files/litigation/admin/2017/33-10283.pdf;01-2009;12-2014;876883;0;0;0;;1;;;0;0;0;0;1;1;;1;;1;1;;0;1;1;;;1;;0;;1;;0;;1;1
5b615f8cf0afddd06d5a6cd5b144ffbf;2016-12-29T08:22:51-05:00;AAER-3840;34-79702;General Cable Corporation;General Cable Corporation;https://www.sec.gov/files/litigation/admin/2016/34-79702.pdf;01-2008;06-2012;886035;0;0;1;;;;;0;0;0;0;1;1;;1;;1;1;;0;1;1;;;;;0;;0;;0;;1;1
0d478dcdb5aee44abe3b6956086391d2;2016-03-15T09:23:41-04:00;AAER-3758;33-10055, 34-77372;ModusLink Global Solutions, et al.;ModusLink Global  Solutions, et al.;https://www.sec.gov/files/litigation/admin/2016/33-10055.pdf, https://www.sec.gov/files/litigation/admin/2016/33-10055-s.pdf;08-2006;06-2012;914712;0;0;1;;1;1;;0;0;0;0;1;1;;1;;;1;;0;1;1;;;;;0;;0;;0;;1;1
a9570123cefe9cc703ce2a62d7e871b1;2015-03-31T09:22:39-04:00;AAER-3645;34-74613;Polycom, Inc.;Polycom, Inc.;https://www.sec.gov/files/litigation/admin/2015/34-74613.pdf;05-2010;07-2013;1010552;0;1;1;;;;;0;0;0;0;1;1;;1;;;;;0;1;1;;;1;;0;;0;;0;;1;1
ec2818ec0b32cce026b19661dc852b98;2013-09-27T10:25:13-04:00;AAER-3494;LR-22823;Universal Travel Group;Universal Travel Group;https://www.sec.gov/enforcement-litigation/litigation-releases/lr-22823;09-2008;06-2011;1336644;09-2013;1;1;1;;;;;;;1;1;1;;1;;;1;1;;1;1;;1;;;;;;;;;1;1
d1f3429aba5e8894b179167cc2e35931;2013-05-15T10:25:06-04:00;AAER-3482;LR-22699;"RINO International Corporation, Dejun ""David"" Zou, Jianping ""Amy"" Qiu";"RINO International Corporation, Dejun ""David"" Zou, and Jianping ""Amy"" Qiu";https://www.sec.gov/enforcement-litigation/litigation-releases/lr-22699, https://www.sec.gov/files/litigation/complaints/2013/comp-pr2013-87.pdf;01-2008;09-2010;1394220;0;1;1;1;;;;;;;1;1;1;;1;;1;1;;;1;1;;;;;;;;;;;1;1
