cik,ticker,name,lei
310158,MRK,"Merck & Co., Inc.",
84839,ROL,ROLLINS INC,
26780,DAN,DANA Inc,
47217,HPQ,HP INC,
51143,IBM,INTERNATIONAL BUSINESS MACHINES CORP,
21344,KO,COCA COLA CO,
60714,LXU,"LSB INDUSTRIES, INC.",
795403,WTS,WATTS WATER TECHNOLOGIES INC,
63276,MAT,MATTEL INC /DE/,
18498,GCO,GENESCO INC,
70318,THC,TENET HEALTHCARE CORP,
66740,MMM,3M CO,
4281,HWM,Howmet Aerospace Inc.,
98222,TDW,TIDEWATER INC,
200406,JNJ,JOHNSON & JOHNSON,
29534,DG,DOLLAR GENERAL CORP,
68505,MSI,"Motorola Solutions, Inc.",
785161,EHC,Encompass Health Corp,
45012,HAL,HALLIBURTON CO,
46765,HP,"Helmerich & Payne, Inc.",
310764,SYK,STRYKER CORP,
75362,PCAR,PACCAR INC,
49196,HBAN,HUNTINGTON BANCSHARES INC /MD/,
50493,IMKTA,INGLES MARKETS INC,
104169,WMT,Walmart Inc.,
51644,,"INTERPUBLIC GROUP OF COMPANIES, INC.",
102037,UVV,UNIVERSAL CORP /VA/,
55785,KMB,KIMBERLY CLARK CORP,
78003,PFE,PFIZER INC,
101829,RTX,RTX Corp,
715787,TILE,INTERFACE INC,
721371,CAH,CARDINAL HEALTH INC,
64803,CVS,CVS HEALTH Corp,
789019,MSFT,MICROSOFT CORP,
855658,LSCC,LATTICE SEMICONDUCTOR CORP,
93556,SWK,"STANLEY BLACK & DECKER, INC.",
1750,AIR,AAR CORP,
9389,BALL,BALL Corp,
26172,CMI,CUMMINS INC,
23217,CAG,CONAGRA BRANDS INC.,
14272,BMY,BRISTOL MYERS SQUIBB CO,
12208,BIO,"BIO-RAD LABORATORIES, INC.",
10456,BAX,BAXTER INTERNATIONAL INC,
28823,DBD,"DIEBOLD NIXDORF, Inc",
8818,AVY,Avery Dennison Corp,
902791,BBSI,BARRETT BUSINESS SERVICES INC,
745308,JOE,ST JOE Co,
773840,HON,HONEYWELL INTERNATIONAL INC,
779152,JKHY,JACK HENRY & ASSOCIATES INC,
56701,KOSS,KOSS CORP,
784977,POR,PORTLAND GENERAL ELECTRIC CO /OR/,
857005,PTC,PTC INC.,
730263,THO,THOR INDUSTRIES INC,
67887,MOG-A,MOOG INC.,
700564,FULT,FULTON FINANCIAL CORP,
355811,GNTX,GENTEX CORP,
315293,AON,Aon plc,
908255,BWA,BORGWARNER INC,
814453,NWL,NEWELL BRANDS INC.,
823768,WM,WASTE MANAGEMENT INC,
42582,GT,GOODYEAR TIRE & RUBBER CO /OH/,
805676,PRK,PARK NATIONAL CORP /OH/,
315189,DE,DEERE & CO,
883902,,"Cornerstone Building Brands, Inc.",
5272,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",
915840,BZH,BEAZER HOMES USA INC,
914712,,Steel Connect LLC,
913142,BDC,BELDEN INC.,
723612,CAR,"AVIS BUDGET GROUP, INC.",
927628,COF,CAPITAL ONE FINANCIAL CORP,
826253,AUSI,AURA SYSTEMS INC,
8868,,AVON PRODUCTS INC,
912593,SUI,SUN COMMUNITIES INC,
84129,,"NEW RITE AID, LLC",
19617,JPM,JPMORGAN CHASE & CO,
814585,MBI,MBIA INC,
808362,,Baker Hughes Holdings LLC,
804328,QCOM,QUALCOMM INC/DE,
895421,MS,MORGAN STANLEY,
909724,TLF,TANDY LEATHER FACTORY INC,
873860,ONIT,ONITY GROUP INC.,
885725,BSX,BOSTON SCIENTIFIC CORP,
933974,AZTA,"Azenta, Inc.",
811589,FBNC,FIRST BANCORP /NC/,
100517,UAL,"United Airlines Holdings, Inc.",
108385,WRLD,WORLD ACCEPTANCE CORP,
1024478,ROK,"ROCKWELL AUTOMATION, INC",
823277,CHSCP,CHS INC,
915913,ALB,ALBEMARLE CORP,
910406,HAIN,HAIN CELESTIAL GROUP INC,
73088,,NORTHWESTERN CORP,
35214,,FERRO CORP,
893949,MD,"Pediatrix Medical Group, Inc.",
97216,TEX,TEREX CORP,
730255,,CalAmp Corp.,
946581,TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,
917491,,FARO TECHNOLOGIES INC,
943452,WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,
1058623,CMLS,CUMULUS MEDIA INC,
1045810,NVDA,NVIDIA CORP,
1048268,IESC,"IES Holdings, Inc.",
704051,,"LEGG MASON, INC.",
709283,QMCO,QUANTUM CORP /DE/,
826154,ORRF,ORRSTOWN FINANCIAL SERVICES INC,
278130,,PIER 1 IMPORTS INC/DE,
898437,ANIK,"Anika Therapeutics, Inc.",
1050446,MSTR,Strategy Inc,
922521,FALC,FALCONSTOR SOFTWARE INC,
28412,,COMERICA INC,
75208,,OVERSEAS SHIPHOLDING GROUP INC,
