cik,filing_date_8k,items,accession
27904,2026-07-10,"2.02,9.01",0000027904-26-000029
27904,2026-06-22,5.07,0001683168-26-005025
27904,2026-06-12,"1.01,2.03",0001683168-26-004816
27904,2026-04-08,"2.02,9.01",0000027904-26-000020
27904,2026-03-17,"7.01,9.01",0001683168-26-001875
27904,2026-03-05,"5.02,9.01",0001683168-26-001510
27904,2026-02-13,5.02,0001683168-26-001033
27904,2026-01-27,1.01,0001683168-26-000578
27904,2026-01-13,"1.01,2.02,9.01",0000027904-26-000008
27904,2025-12-17,"5.02,9.01",0001683168-25-009232
27904,2025-12-03,7.01,0001683168-25-008823
27904,2025-10-09,"2.02,9.01",0000027904-25-000018
27904,2025-09-30,"1.01,2.03",0001683168-25-007343
27904,2025-09-11,7.01,0001683168-25-006844
27904,2025-07-10,"2.02,9.01",0001683168-25-005002
27904,2025-06-20,"5.02,5.07",0001683168-25-004655
27904,2025-06-10,"1.01,8.01,9.01",0001193125-25-138467
27904,2025-05-09,"7.01,9.01",0001683168-25-003307
27904,2025-05-01,7.01,0001683168-25-003028
27904,2025-04-25,5.02,0001683168-25-002844
27904,2025-04-09,"2.02,9.01",0001683168-25-002353
27904,2025-03-10,"7.01,9.01",0001683168-25-001468
27904,2025-01-15,"5.02,9.01",0001683168-25-000386
27904,2025-01-10,"2.02,9.01",0001683168-25-000182
27904,2024-12-13,"5.02,9.01",0001683168-24-008677
27904,2024-11-20,"7.01,9.01",0001683168-24-008276
27904,2024-10-10,"2.02,9.01",0001683168-24-007033
27904,2024-09-12,"7.01,9.01",0001683168-24-006319
27904,2024-08-23,5.02,0001683168-24-005993
27904,2024-08-08,7.01,0001683168-24-005369
27904,2024-07-11,"2.02,9.01",0001683168-24-004743
27904,2024-06-21,5.07,0001683168-24-004395
27904,2024-06-20,5.02,0001683168-24-004365
27904,2024-04-26,"5.02,9.01",0001683168-24-002742
27904,2024-04-10,"2.02,9.01",0001683168-24-002249
27904,2024-03-12,7.01,0001683168-24-001423
27904,2024-01-12,"1.01,2.02,9.01",0001683168-24-000244
27904,2023-12-06,7.01,0001683168-23-008645
27904,2023-11-08,"1.01,2.03",0001683168-23-007733
27904,2023-11-03,2.03,0001683168-23-007623
27904,2023-10-12,"2.02,9.01",0001683168-23-007072
27904,2023-10-02,5.02,0001683168-23-006885
27904,2023-09-14,"7.01,9.01",0001683168-23-006400
27904,2023-07-13,"2.02,9.01",0001683168-23-004828
27904,2023-06-27,"7.01,9.01",0001683168-23-004431
27904,2023-06-15,5.02,0001683168-23-004182
27904,2023-06-15,5.07,0001683168-23-004180
27904,2023-06-15,"7.01,9.01",0001683168-23-004152
27904,2023-05-23,"5.02,9.01",0001683168-23-003666
27904,2023-04-28,"5.02,9.01",0001683168-23-002764
27904,2023-04-13,"2.02,9.01",0001683168-23-002326
27904,2023-03-14,7.01,0001683168-23-001464
27904,2023-01-13,"2.02,9.01",0001683168-23-000172
27904,2022-12-14,"7.01,9.01",0001683168-22-008404
27904,2022-12-14,"7.01,9.01",0001683168-22-008402
27904,2022-12-09,"5.03,9.01",0001683168-22-008312
27904,2022-11-21,"1.01,9.01",0001683168-22-007951
27904,2022-10-13,"2.02,9.01",0001683168-22-006867
27904,2022-07-18,1.01,0001683168-22-005002
27904,2022-07-13,"2.02,9.01",0001683168-22-004923
27904,2022-06-16,5.07,0001683168-22-004400
27904,2022-06-01,"7.01,9.01",0001683168-22-004103
27904,2022-04-21,"5.02,9.01",0001683168-22-002855
27904,2022-04-13,"2.02,9.01",0001683168-22-002578
27904,2022-03-15,"7.01,9.01",0001683168-22-001661
27904,2022-01-13,"2.02,9.01",0001683168-22-000238
27904,2021-12-16,"7.01,9.01",0001683168-21-006386
27904,2021-12-16,"7.01,9.01",0001683168-21-006385
27904,2021-12-13,"7.01,9.01",0001683168-21-006283
27904,2021-11-19,1.01,0001683168-21-005852
27904,2021-10-13,"2.02,9.01",0001683168-21-004801
27904,2021-09-09,"7.01,9.01",0001683168-21-004177
27904,2021-08-24,"8.01,9.01",0001683168-21-003872
27904,2021-07-14,"2.02,9.01",0001683168-21-002954
27904,2021-06-21,5.07,0001683168-21-002610
27904,2021-06-03,"7.01,9.01",0001683168-21-002319
27904,2021-05-21,"5.02,9.01",0001683168-21-002144
27904,2021-05-13,5.02,0001683168-21-001960
27904,2021-04-23,"1.01,8.01,9.01",0001683168-21-001512
27904,2021-04-22,"8.01,9.01",0001683168-21-001491
27904,2021-04-15,"2.02,9.01",0001683168-21-001429
27904,2021-03-31,7.01,0001683168-21-001157
27904,2021-03-15,"7.01,9.01",0001683168-21-000930
27904,2021-01-15,1.01,0001683168-21-000171
27904,2021-01-14,"2.02,9.01",0001683168-21-000139
27904,2020-12-21,5.02,0001683168-20-004402
27904,2020-12-03,"7.01,9.01",0001683168-20-004156
27904,2020-10-30,"5.02,9.01",0001683168-20-003616
27904,2020-10-13,"1.02,2.02,9.01",0001683168-20-003418
27904,2020-09-25,"1.01,2.03,2.06,7.01,9.01",0001683168-20-003281
27904,2020-09-17,"8.01,9.01",0001683168-20-003165
27904,2020-09-14,"7.01,8.01,9.01",0001193125-20-244688
27904,2020-09-04,2.03,0001683168-20-003044
27904,2020-08-24,"5.02,9.01",0001683168-20-002855
27904,2020-07-14,"2.02,9.01",0001683168-20-002254
27904,2020-07-02,1.01,0001683168-20-002165
27904,2020-06-19,5.07,0001683168-20-002010
27904,2020-06-12,"1.01,8.01,9.01",0001193125-20-167365
27904,2020-06-10,"8.01,9.01",0001193125-20-165725
27904,2020-06-10,"8.01,9.01",0001193125-20-165177
27904,2020-05-14,"2.06,7.01,9.01",0001683168-20-001539
27904,2020-04-30,"1.01,2.03,7.01,9.01",0001193125-20-127772
27904,2020-04-23,"8.01,9.01",0001683168-20-001259
27904,2020-04-22,"1.01,2.02,5.02,9.01",0001683168-20-001252
27904,2020-04-15,"7.01,9.01",0001683168-20-001200
27904,2020-04-03,"7.01,9.01",0001683168-20-001117
27904,2020-03-20,"1.01,2.03,7.01,9.01",0001683168-20-000894
27904,2020-03-18,"7.01,9.01",0001683168-20-000862
27904,2020-03-13,"7.01,9.01",0001683168-20-000793
27904,2020-03-12,"2.03,8.01,9.01",0001193125-20-071712
27904,2020-03-10,"7.01,9.01",0001683168-20-000743
27904,2020-02-28,"5.02,9.01",0001683168-20-000620
27904,2020-01-14,"2.02,9.01",0001683168-20-000113
27904,2019-12-12,"7.01,8.01,9.01",0001683168-19-003954
27904,2019-11-07,"7.01,9.01",0001683168-19-003474
27904,2019-10-28,"1.01,8.01,9.01",0001193125-19-276208
27904,2019-10-10,"2.02,9.01",0001683168-19-003214
27904,2019-10-02,1.01,0001683168-19-003140
27904,2019-10-02,"7.01,9.01",0001683168-19-003120
27904,2019-09-26,"8.01,9.01",0001683168-19-003067
27904,2019-09-04,"7.01,9.01",0001683168-19-002809
27904,2019-08-07,"5.02,9.01",0001683168-19-002458
27904,2019-07-11,"2.02,8.01,9.01",0001683168-19-002162
27904,2019-07-02,"7.01,9.01",0001683168-19-002084
27904,2019-06-20,5.07,0001683168-19-001955
27904,2019-06-20,5.07,0001683168-19-001952
27904,2019-06-04,"7.01,9.01",0001683168-19-001773
27904,2019-05-24,5.02,0001683168-19-001715
27904,2019-04-10,"2.02,9.01",0001683168-19-000988
27904,2019-04-02,"7.01,9.01",0001683168-19-000928
27904,2019-03-13,"2.03,8.01,9.01",0001193125-19-073440
27904,2019-03-05,"7.01,9.01",0001683168-19-000542
27904,2019-02-08,"5.03,9.01",0001683168-19-000302
27904,2019-01-15,"2.02,9.01",0001683168-19-000102
27904,2019-01-03,"7.01,9.01",0001683168-19-000010
27904,2018-12-13,"7.01,9.01",0001683168-18-003681
27904,2018-12-12,"7.01,9.01",0001683168-18-003678
27904,2018-12-04,"7.01,9.01",0001683168-18-003604
27904,2018-10-11,"2.02,9.01",0001683168-18-003018
27904,2018-10-11,"2.02,9.01",0001683168-18-003013
27904,2018-10-02,"7.01,9.01",0001683168-18-002913
27904,2018-09-05,"7.01,9.01",0001683168-18-002594
27904,2018-07-12,"2.02,9.01",0001683168-18-001939
27904,2018-07-03,"7.01,9.01",0001683168-18-001852
27904,2018-06-29,5.07,0001683168-18-001817
27904,2018-06-06,"7.01,9.01",0001683168-18-001600
27904,2018-05-04,"1.01,2.03",0001193125-18-153000
27904,2018-05-03,2.03,0001683168-18-001173
27904,2018-04-20,"5.02,9.01",0001683168-18-001046
27904,2018-04-19,"1.01,2.03,8.01,9.01",0001193125-18-122656
27904,2018-04-12,"2.02,9.01",0001683168-18-000976
27904,2018-04-03,"7.01,9.01",0001683168-18-000899
27904,2018-03-13,"7.01,9.01",0000027904-18-000009
27904,2018-03-13,"7.01,9.01",0001683168-18-000643
27904,2018-01-11,"2.02,9.01",0001683168-18-000110
27904,2018-01-03,"7.01,9.01",0001683168-18-000029
27904,2017-12-18,1.01,0001683168-17-003337
27904,2017-12-14,"7.01,9.01",0001683168-17-003304
27904,2017-12-13,"7.01,9.01",0001683168-17-003297
27904,2017-12-05,"2.03,8.01,9.01",0001193125-17-361559
27904,2017-12-04,"8.01,9.01",0001193125-17-360238
27904,2017-11-28,"8.01,9.01",0001683168-17-003157
27904,2017-10-23,"5.02,9.01",0001683168-17-002723
27904,2017-10-11,"2.02,9.01",0001683168-17-002616
27904,2017-10-03,"7.01,9.01",0001683168-17-002553
27904,2017-09-15,1.01,0001683168-17-002393
27904,2017-09-05,"7.01,9.01",0001683168-17-002301
27904,2017-07-13,"2.02,9.01",0001683168-17-001759
27904,2017-07-05,"7.01,9.01",0001683168-17-001712
27904,2017-06-30,5.07,0001683168-17-001687
27904,2017-06-07,"7.01,9.01",0001683168-17-001516
27904,2017-06-02,"7.01,9.01",0001683168-17-001473
27904,2017-05-11,"7.01,9.01",0001683168-17-001165
27904,2017-05-02,"7.01,9.01",0001683168-17-001072
27904,2017-04-12,"2.02,9.01",0001683168-17-000893
27904,2017-04-11,5.02,0001683168-17-000876
27904,2017-04-04,"7.01,9.01",0001683168-17-000788
27904,2017-03-14,"1.01,2.03,8.01,9.01",0001193125-17-082053
27904,2017-03-06,"7.01,9.01",0001683168-17-000491
27904,2017-03-02,"7.01,9.01",0001683168-17-000474
27904,2017-02-02,"7.01,9.01",0001683168-17-000214
27904,2017-01-26,"5.02,9.01",0001683168-17-000167
27904,2017-01-12,"2.02,9.01",0001683168-17-000066
27904,2017-01-04,"7.01,9.01",0001683168-17-000005
27904,2016-12-15,"7.01,9.01",0001683168-16-000950
27904,2016-12-02,"7.01,9.01",0001683168-16-000836
27904,2016-11-02,"7.01,9.01",0001683168-16-000451
27904,2016-10-31,"5.03,9.01",0001683168-16-000419
27904,2016-10-13,"2.02,9.01",0001683168-16-000303
27904,2016-10-11,"5.02,9.01",0001683168-16-000288
27904,2016-10-04,"7.01,9.01",0001683168-16-000234
27904,2016-09-07,"7.01,9.01",0001683168-16-000028
27904,2016-09-02,"7.01,9.01",0001683168-16-000010
27904,2016-08-02,"7.01,9.01",0001019687-16-007061
27904,2016-07-14,"2.02,9.01",0001019687-16-006928
27904,2016-07-05,"7.01,9.01",0001019687-16-006841
27904,2016-06-10,"5.02,5.07",0001019687-16-006642
27904,2016-06-02,"7.01,9.01",0001019687-16-006535
27904,2016-05-16,"7.01,9.01",0001019687-16-006265
27904,2016-05-03,"7.01,9.01",0001019687-16-006073
27904,2016-04-14,"2.02,9.01",0001019687-16-005858
27904,2016-04-04,"7.01,9.01",0001019687-16-005716
27904,2016-03-08,"7.01,9.01",0001019687-16-005390
27904,2016-03-02,"7.01,9.01",0001019687-16-005309
27904,2016-02-17,"8.01,9.01",0001019687-16-005211
27904,2016-02-05,"5.02,9.01",0001019687-16-005064
27904,2016-02-02,"7.01,9.01",0001019687-16-004983
27904,2016-01-19,"2.02,9.01",0001019687-16-004864
27904,2016-01-05,"7.01,9.01",0001019687-16-004701
27904,2015-12-17,"7.01,9.01",0001019687-15-004546
27904,2015-12-02,"7.01,9.01",0001019687-15-004388
27904,2015-11-03,"7.01,9.01",0001019687-15-003878
27904,2015-10-14,"2.02,9.01",0001019687-15-003711
27904,2015-10-02,"7.01,9.01",0001019687-15-003608
27904,2015-09-09,"7.01,9.01",0001019687-15-003407
27904,2015-09-02,"7.01,9.01",0001019687-15-003335
27904,2015-08-24,"1.01,2.03,8.01,9.01",0001193125-15-300173
27904,2015-08-04,"7.01,9.01",0001019687-15-002935
27904,2015-07-27,"8.01,9.01",0001019687-15-002860
27904,2015-07-24,"5.02,9.01",0001019687-15-002851
27904,2015-07-15,"2.02,9.01",0001019687-15-002754
27904,2015-07-13,8.01,0001019687-15-002692
27904,2015-07-02,"7.01,9.01",0001019687-15-002597
27904,2015-06-25,5.07,0001019687-15-002522
27904,2015-06-04,"7.01,9.01",0001019687-15-002261
27904,2015-06-02,"7.01,9.01",0001019687-15-002230
27904,2015-05-13,"7.01,9.01",0001019687-15-001892
27904,2015-05-04,"7.01,9.01",0001019687-15-001731
27904,2015-04-15,"2.02,9.01",0001019687-15-001442
27904,2015-04-02,"7.01,9.01",0001019687-15-001283
27904,2015-03-03,"7.01,9.01",0001019687-15-000768
27904,2015-02-20,"5.02,9.01",0001019687-15-000674
27904,2015-02-03,"7.01,9.01",0001019687-15-000407
27904,2015-01-20,"2.02,9.01",0001019687-15-000242
27904,2015-01-05,"7.01,9.01",0001019687-15-000036
27904,2014-12-11,"7.01,9.01",0001019687-14-004673
27904,2014-12-11,"7.01,9.01",0001019687-14-004670
27904,2014-12-10,9.01,0001019687-14-004645
27904,2014-12-02,"7.01,9.01",0001019687-14-004546
27904,2014-11-25,1.01,0001019687-14-004491
27904,2014-11-04,"7.01,9.01",0001019687-14-004033
27904,2014-10-16,"2.02,9.01",0001019687-14-003879
27904,2014-10-02,"7.01,9.01",0001019687-14-003762
27904,2014-09-03,"7.01,9.01",0001019687-14-003440
27904,2014-08-04,"7.01,9.01",0001019687-14-002944
27904,2014-07-25,"5.02,9.01",0001019687-14-002809
27904,2014-07-23,"2.02,9.01",0001019687-14-002793
27904,2014-07-02,"7.01,9.01",0001019687-14-002625
27904,2014-06-27,"5.03,5.07,9.01",0001019687-14-002579
27904,2014-06-04,"7.01,9.01",0001019687-14-002277
27904,2014-06-03,"7.01,9.01",0001019687-14-002255
27904,2014-05-07,"7.01,9.01",0001019687-14-001671
27904,2014-05-06,"7.01,9.01",0001019687-14-001660
27904,2014-05-02,"7.01,9.01",0001019687-14-001634
27904,2014-04-23,"2.02,9.01",0001019687-14-001513
27904,2014-04-02,"7.01,9.01",0001019687-14-001205
27904,2014-03-10,"7.01,9.01",0001019687-14-000777
27904,2014-03-04,"7.01,9.01",0001019687-14-000682
27904,2014-02-07,"5.02,9.01",0001019687-14-000417
27904,2014-02-04,"7.01,9.01",0001019687-14-000373
27904,2014-01-21,"2.02,9.01",0001019687-14-000192
27904,2014-01-03,"7.01,9.01",0001019687-14-000006
27904,2013-12-11,"7.01,9.01",0001019687-13-004782
27904,2013-12-03,"7.01,9.01",0001019687-13-004681
27904,2013-11-04,"7.01,9.01",0001019687-13-004062
27904,2013-10-22,"2.02,9.01",0001019687-13-003929
27904,2013-10-02,"7.01,9.01",0001019687-13-003782
27904,2013-09-04,"7.01,9.01",0001019687-13-003404
27904,2013-08-02,"7.01,9.01",0001019687-13-002831
27904,2013-07-24,"2.02,9.01",0001019687-13-002694
27904,2013-07-02,"7.01,9.01",0001019687-13-002543
27904,2013-07-01,5.07,0001019687-13-002536
27904,2013-06-13,"7.01,9.01",0001019687-13-002322
27904,2013-06-04,"7.01,9.01",0001019687-13-002175
27904,2013-05-15,"7.01,9.01",0001019687-13-001869
27904,2013-05-08,"7.01,9.01",0001019687-13-001666
27904,2013-05-02,"7.01,9.01",0001019687-13-001587
27904,2013-04-23,"2.02,9.01",0001019687-13-001455
27904,2013-04-02,"7.01,9.01",0001019687-13-001176
27904,2013-03-04,"7.01,9.01",0001019687-13-000655
27904,2013-02-04,"7.01,9.01",0001019687-13-000331
27904,2013-01-22,"2.02,9.01",0001019687-13-000190
27904,2013-01-22,"2.02,9.01",0001019687-13-000187
27904,2013-01-03,"7.01,9.01",0001019687-13-000015
27904,2012-12-12,"7.01,9.01",0001019687-12-004492
27904,2012-12-11,"8.01,9.01",0001019687-12-004481
