fyear,total_assets,current_assets,current_liabilities,cash,long_term_debt,equity,net_income,revenue,interest_expense,retained_earnings,inventory,receivables,total_liabilities,cik,ebit
2011,1703727000.0,913985000.0,416010000.0,57433000.0,313981000.0,835845000.0,69826000.0,1775782000.0,30670000.0,486130000.0,363399000.0,287435000.0,,1750.0,
2012,2195653000.0,1063272000.0,473226000.0,67720000.0,,864649000.0,12879000.0,563346000.0,37772000.0,541772000.0,461166000.0,302056000.0,,1750.0,
2013,2136900000.0,1033700000.0,389000000.0,75300000.0,622200000.0,918600000.0,600000.0,553800000.0,41600000.0,584900000.0,453700000.0,297400000.0,,1750.0,
2014,2199500000.0,1116900000.0,402100000.0,89200000.0,564300000.0,999500000.0,17100000.0,505400000.0,42000000.0,646000000.0,495300000.0,283100000.0,,1750.0,
2015,1515000000.0,954100000.0,412000000.0,54700000.0,85000000.0,845100000.0,15100000.0,415800000.0,26500000.0,644300000.0,456000000.0,229000000.0,,1750.0,
2016,1442100000.0,873100000.0,329000000.0,31200000.0,136100000.0,,12000000.0,458200000.0,6400000.0,681600000.0,445400000.0,242700000.0,,1750.0,
2017,1504100000.0,888500000.0,335100000.0,10300000.0,155300000.0,,21200000.0,492300000.0,5500000.0,727900000.0,483100000.0,251400000.0,,1750.0,
2018,1524700000.0,942700000.0,333300000.0,31100000.0,177200000.0,,12000000.0,473500000.0,8000000.0,733200000.0,460700000.0,202000000.0,,1750.0,
2019,1517200000.0,952500000.0,357500000.0,21300000.0,141700000.0,,22800000.0,,9500000.0,709800000.0,523700000.0,197800000.0,,1750.0,
2020,2079000000.0,1438700000.0,383100000.0,404700000.0,600000000.0,,-16500000.0,,9300000.0,706000000.0,623100000.0,,,1750.0,
2021,1539700000.0,937000000.0,336800000.0,51800000.0,133700000.0,,35800000.0,,5000000.0,741700000.0,540600000.0,,,1750.0,
2022,1573900000.0,1007200000.0,348200000.0,53500000.0,98900000.0,,78700000.0,,2400000.0,820400000.0,550500000.0,,,1750.0,
2023,1833100000.0,1097900000.0,351500000.0,68400000.0,269700000.0,,90200000.0,,12200000.0,910600000.0,574100000.0,,1800000.0,1750.0,
2024,2770000000.0,1389600000.0,466900000.0,85800000.0,985400000.0,,46300000.0,,43200000.0,956900000.0,733100000.0,,1800000.0,1750.0,
2025,2844600000.0,1510600000.0,554700000.0,96500000.0,968000000.0,1211600000.0,12500000.0,,,969400000.0,809200000.0,,,1750.0,
2026,3355900000.0,1742100000.0,613200000.0,84000000.0,893900000.0,1703800000.0,187700000.0,,,1157100000.0,979000000.0,,,1750.0,
2011,927394000.0,473677000.0,160616000.0,66425000.0,500250000.0,212905000.0,25456000.0,213680000.0,11984000.0,401363000.0,68634000.0,,712802000.0,2491.0,151535000.0
2012,970467000.0,480459000.0,214037000.0,32673000.0,494375000.0,196108000.0,26521000.0,245795000.0,17378000.0,504895000.0,75066000.0,,772992000.0,2491.0,179443000.0
2013,979265000.0,493077000.0,226935000.0,63220000.0,580000000.0,119548000.0,37337000.0,264402000.0,18120000.0,646339000.0,68407000.0,,860093000.0,2491.0,235510000.0
2014,2518811000.0,593434000.0,251567000.0,77439000.0,1886953000.0,205131000.0,12161000.0,342211000.0,56760000.0,744939000.0,82289000.0,,2312890000.0,2491.0,227234000.0
2011,307145000.0,155949000.0,28289000.0,83962000.0,100808000.0,158208000.0,43013000.0,,-2109000.0,-72374000.0,35456000.0,25307000.0,148937000.0,3116.0,33266000.0
2012,369565000.0,158707000.0,43291000.0,40781000.0,104637000.0,201081000.0,8811000.0,,6436000.0,-36996000.0,52495000.0,51017000.0,168484000.0,3116.0,19715000.0
2013,431805000.0,168856000.0,61245000.0,34178000.0,108750000.0,260180000.0,16678000.0,,,15366000.0,55982000.0,64998000.0,171625000.0,3116.0,25177000.0
2014,1906901000.0,494329000.0,134165000.0,70680000.0,1114481000.0,386751000.0,34232000.0,,,50711000.0,131310000.0,220716000.0,1520150000.0,3116.0,71907000.0
2015,2112710000.0,751156000.0,231512000.0,346266000.0,1021488000.0,621565000.0,32785000.0,,,180048000.0,185316000.0,150621000.0,1491145000.0,3116.0,64475000.0
2016,1973720000.0,685811000.0,175555000.0,200772000.0,809979000.0,819184000.0,32455000.0,,,319291000.0,174793000.0,283154000.0,1154536000.0,3116.0,60796000.0
2017,1909511000.0,730151000.0,171089000.0,368119000.0,815195000.0,831245000.0,-65217000.0,,,294741000.0,183568000.0,141383000.0,1078266000.0,3116.0,-116442000.0
2018,1495257000.0,583819000.0,170823000.0,224868000.0,820411000.0,443866000.0,-215038000.0,153386000.0,,-107168000.0,173645000.0,153126000.0,1051391000.0,3116.0,-195865000.0
2019,1288639000.0,480047000.0,985587000.0,144804000.0,0.0,234292000.0,-80660000.0,162257000.0,,-333938000.0,170047000.0,134173000.0,1054347000.0,3116.0,-43980000.0
2009,38472000000.0,7022000000.0,5414000000.0,1481000000.0,,12420000000.0,-1151000000.0,,470000000.0,11020000000.0,2328000000.0,1529000000.0,22912000000.0,4281.0,
2010,39293000000.0,6869000000.0,5236000000.0,1543000000.0,8842000000.0,13611000000.0,254000000.0,,494000000.0,11149000000.0,2562000000.0,1565000000.0,22207000000.0,4281.0,
2011,40120000000.0,7713000000.0,6013000000.0,1939000000.0,8640000000.0,13844000000.0,-191000000.0,,524000000.0,11629000000.0,2899000000.0,1571000000.0,22925000000.0,4281.0,
2012,40179000000.0,7700000000.0,5942000000.0,1861000000.0,8311000000.0,13199000000.0,242000000.0,,490000000.0,11689000000.0,2825000000.0,1399000000.0,23656000000.0,4281.0,
2013,35742000000.0,6969000000.0,6105000000.0,1437000000.0,7607000000.0,10593000000.0,-2339000000.0,,453000000.0,9272000000.0,2705000000.0,1221000000.0,22220000000.0,4281.0,
2014,37399000000.0,8269000000.0,5541000000.0,1877000000.0,8769000000.0,12306000000.0,159000000.0,,473000000.0,9379000000.0,3082000000.0,1395000000.0,22605000000.0,4281.0,
2015,36528000000.0,7953000000.0,5211000000.0,1919000000.0,9044000000.0,12046000000.0,-701000000.0,,498000000.0,8834000000.0,3442000000.0,1340000000.0,22397000000.0,4281.0,
2016,20038000000.0,5892000000.0,2749000000.0,1863000000.0,8044000000.0,5115000000.0,-1258000000.0,,499000000.0,-1027000000.0,2253000000.0,974000000.0,14897000000.0,4281.0,
2017,18718000000.0,6378000000.0,2824000000.0,2150000000.0,6806000000.0,4910000000.0,-727000000.0,,496000000.0,-1248000000.0,2480000000.0,1035000000.0,13794000000.0,4281.0,326000000.0
2018,18693000000.0,6581000000.0,3520000000.0,2277000000.0,5896000000.0,5573000000.0,218000000.0,3472000000.0,378000000.0,-358000000.0,2492000000.0,1047000000.0,13108000000.0,4281.0,1325000000.0
2019,17578000000.0,5842000000.0,4126000000.0,1648000000.0,4906000000.0,4607000000.0,309000000.0,3401000000.0,338000000.0,129000000.0,2429000000.0,967000000.0,12957000000.0,4281.0,1035000000.0
2020,11443000000.0,3672000000.0,1660000000.0,1610000000.0,4699000000.0,3577000000.0,261000000.0,1238000000.0,381000000.0,364000000.0,1488000000.0,328000000.0,7866000000.0,4281.0,626000000.0
2021,10219000000.0,2737000000.0,1253000000.0,720000000.0,4227000000.0,3508000000.0,258000000.0,4972000000.0,259000000.0,603000000.0,1402000000.0,367000000.0,6711000000.0,4281.0,748000000.0
2022,10255000000.0,3143000000.0,1482000000.0,791000000.0,4162000000.0,3601000000.0,469000000.0,5663000000.0,229000000.0,1028000000.0,1609000000.0,506000000.0,6654000000.0,4281.0,919000000.0
2023,10428000000.0,3316000000.0,1784000000.0,610000000.0,3500000000.0,4037000000.0,765000000.0,6640000000.0,218000000.0,1720000000.0,1765000000.0,675000000.0,6391000000.0,4281.0,1203000000.0
2024,10519000000.0,3362000000.0,1549000000.0,564000000.0,3309000000.0,4554000000.0,1155000000.0,7430000000.0,,2766000000.0,1840000000.0,689000000.0,5965000000.0,4281.0,1633000000.0
2025,11179000000.0,3779000000.0,1771000000.0,742000000.0,2859000000.0,5353000000.0,1508000000.0,8252000000.0,,4093000000.0,1849000000.0,779000000.0,5826000000.0,4281.0,2046000000.0
2009,847585000000.0,,,,,69824000000.0,-10949000000.0,96004000000.0,15369000000.0,-11491000000.0,,,748550000000.0,5272.0,
2010,683443000000.0,,,,,85319000000.0,7786000000.0,77301000000.0,7859000000.0,-3466000000.0,,,569770000000.0,5272.0,
2011,555773000000.0,,,,73400000000.0,104951000000.0,19798000000.0,17409000000.0,3871000000.0,14332000000.0,,,441444000000.0,5272.0,
2012,548633000000.0,,,,48500000000.0,98002000000.0,-3958000000.0,15854000000.0,2319000000.0,14176000000.0,,,449630000000.0,5272.0,
2013,541329000000.0,,,,41693000000.0,100470000000.0,1978000000.0,17346000000.0,2142000000.0,22965000000.0,,,440218000000.0,5272.0,
2014,515581000000.0,,,,31217000000.0,106898000000.0,655000000.0,64406000000.0,1718000000.0,29775000000.0,,,408309000000.0,5272.0,
2015,496943000000.0,,,,29350000000.0,89658000000.0,-1841000000.0,13831000000.0,1281000000.0,30943000000.0,,,406733000000.0,5272.0,
2016,498264000000.0,,,,30912000000.0,76300000000.0,-3041000000.0,13010000000.0,1260000000.0,28711000000.0,,,421406000000.0,5272.0,
2017,498301000000.0,,,,31640000000.0,65171000000.0,-6660000000.0,12635000000.0,1168000000.0,21457000000.0,,,432593000000.0,5272.0,
2018,491984000000.0,,,3358000000.0,34540000000.0,56361000000.0,-622000000.0,12560000000.0,1309000000.0,20884000000.0,,,434675000000.0,5272.0,
2019,525064000000.0,,,3287000000.0,35350000000.0,65675000000.0,929000000.0,11815000000.0,1417000000.0,23084000000.0,,,457637000000.0,5272.0,
2020,586481000000.0,,,3230000000.0,37534000000.0,66362000000.0,-5944000000.0,43736000000.0,1457000000.0,15504000000.0,,,519282000000.0,5272.0,
2021,596112000000.0,,,2427000000.0,30163000000.0,65956000000.0,9388000000.0,52057000000.0,1305000000.0,23785000000.0,,,527200000000.0,5272.0,
2022,526634000000.0,,,2216000000.0,27179000000.0,40002000000.0,10276000000.0,56437000000.0,1125000000.0,33032000000.0,,,484399000000.0,5272.0,
2023,539306000000.0,,,2204000000.0,,45351000000.0,3643000000.0,46802000000.0,1136000000.0,37516000000.0,,,488005000000.0,5272.0,
2024,161322000000.0,,,1372000000.0,8922000000.0,42521000000.0,898000000.0,7177000000.0,462000000.0,35079000000.0,,,118772000000.0,5272.0,
2025,161254000000.0,,,1345000000.0,9191000000.0,41139000000.0,3096000000.0,26775000000.0,396000000.0,37186000000.0,,,120092000000.0,5272.0,
2012,557996000.0,408795000.0,99939000.0,187011000.0,,446319000.0,43071000.0,151011000.0,,343186000.0,108944000.0,96117000.0,,6284.0,39963000.0
2013,587784000.0,360413000.0,90894000.0,113033000.0,,486396000.0,31121000.0,166177000.0,,362255000.0,116280000.0,113150000.0,,6284.0,45375000.0
2014,614342000.0,373774000.0,84513000.0,114540000.0,,512580000.0,34480000.0,142000000.0,,378477000.0,124777000.0,106436000.0,,6284.0,29088000.0
2015,627970000.0,404565000.0,79794000.0,123800000.0,,531410000.0,33481000.0,154500000.0,600000.0,394757000.0,132712000.0,119301000.0,,6284.0,40599000.0
2016,632897000.0,388804000.0,78467000.0,118697000.0,,531177000.0,12127000.0,138100000.0,3200000.0,390013000.0,145513000.0,112412000.0,,6284.0,25213000.0
2017,538083000.0,370705000.0,67110000.0,129298000.0,,460494000.0,-74237000.0,111600000.0,3200000.0,307104000.0,130575000.0,77587000.0,,6284.0,-66760000.0
2011,110612103.0,41822062.0,12109041.0,6673987.0,22739488.0,65949189.0,8430314.0,,1113292.0,20186704.0,9456365.0,23198132.0,44373691.0,7039.0,13663735.0
2012,120376000.0,41359000.0,12191000.0,9508000.0,14239000.0,81943000.0,1850000.0,,547000.0,35351000.0,9840000.0,15802000.0,38144000.0,7039.0,17456000.0
2013,143667000.0,46350000.0,14288000.0,7608000.0,11839000.0,102930000.0,3182000.0,,520000.0,54849000.0,12063000.0,22069000.0,40448000.0,7039.0,19970000.0
2014,232074000.0,54935000.0,24881000.0,8506000.0,73450000.0,121099000.0,2198000.0,,1042000.0,70420000.0,12815000.0,28271000.0,110686000.0,7039.0,25482000.0
2015,258811000.0,66353000.0,22947000.0,18623000.0,73917000.0,142096000.0,1122000.0,,2217000.0,89018000.0,15804000.0,19474000.0,116426000.0,7039.0,36041000.0
2016,292099000.0,57562000.0,26712000.0,8389000.0,73107000.0,164087000.0,-847000.0,,1985000.0,108446000.0,17871000.0,22193000.0,127723000.0,7039.0,18707000.0
2017,327326000.0,57265000.0,31544000.0,3028000.0,91021000.0,184722000.0,13972000.0,,2931000.0,126455000.0,18450000.0,25779000.0,142315000.0,7039.0,18102000.0
