doc_id,cik,name,yahoo_ticker,fyear,filing_date,reporting_date,asof_date,pd_score,equity_quality,z_secpd_quality,total_assets,fin_leverage,fin_altman_z
1318605_2012-12-31,1318605,TESLA MOTORS INC,TSLA,2012,2013-03-07,2012-12-31,2013-03-08,0.008045251244925862,0.9919547487550742,0.9080872411770867,713448000.0,0.685968704096164,-1.8346421178219425
1318605_2013-12-31,1318605,TESLA MOTORS INC,TSLA,2013,2014-02-26,2013-12-31,2014-02-27,0.025534417703765622,0.9744655822962344,-0.022862106722503214,1114190000.0,0.8880801299598812,-1.7903949285112344
1318605_2014-12-31,1318605,TESLA MOTORS INC,TSLA,2014,2015-02-26,2014-12-31,2015-02-27,0.006230955614246872,0.9937690443857531,1.0046623031305957,2416930000.0,0.7239804214437323,-0.6573353084005903
1318605_2015-12-31,1318605,TESLA MOTORS INC,TSLA,2015,2016-02-24,2015-12-31,2016-02-25,0.030631254218573,0.969368745781427,-0.29416701087432323,5830667000.0,0.8336543657869674,0.20261419920332374
1318605_2016-12-31,1318605,"Tesla, Inc.",TSLA,2016,2017-03-01,2016-12-31,2017-03-02,0.057184750733137835,0.9428152492668622,-1.7076111748867058,8067939000.0,0.8598168627700333,-0.02953331783518759
1318605_2017-12-31,1318605,"Tesla, Inc.",TSLA,2017,2018-02-23,2017-12-31,2018-02-24,0.03670483749803863,0.9632951625019613,-0.6174642021235099,22664076000.0,0.739062426370261,0.0821991214270705
1318605_2018-12-31,1318605,"Tesla, Inc.",TSLA,2018,2019-02-19,2018-12-31,2019-02-20,0.05272730964954304,0.9472726903504569,-1.4703413267301626,28655372000.0,0.8034437661461872,-0.011403744117139486
1318605_2019-12-31,1318605,"Tesla, Inc.",TSLA,2019,2020-02-13,2019-12-31,2020-02-14,0.038181855104088495,0.9618181448959116,-0.6960859352074981,29740000000.0,0.7877269670477471,0.02201669172267995
1318605_2020-12-31,1318605,"Tesla, Inc.",TSLA,2020,2021-02-08,2020-12-31,2021-02-09,0.038181855104088495,0.9618181448959116,-0.6960859352074981,34309000000.0,0.7636188755137137,0.5417696880731093
1318605_2021-12-31,1318605,"Tesla, Inc.",TSLA,2021,2022-02-07,2021-12-31,2022-02-08,0.01847839863120039,0.9815216013687996,0.3527301989388981,52148000000.0,0.5449489913323617,1.0781751968915294
1318605_2022-12-31,1318605,"Tesla, Inc.",TSLA,2022,2023-01-31,2022-12-31,2023-02-01,0.007128667058224284,0.9928713329417758,0.9568770707503319,62131000000.0,0.49167082454813216,1.227601390770333
1318605_2023-12-31,1318605,"Tesla, Inc.",TSLA,2023,2024-01-29,2023-12-31,2024-01-30,0.004730910309576804,0.9952690896904232,1.0845098019515935,82338000000.0,0.4425660084043819,2.077340382907764
1318605_2024-12-31,1318605,"Tesla, Inc.",TSLA,2024,2025-01-30,2024-12-31,2025-01-31,0.002603516920367328,0.9973964830796327,1.1977510758036949,106618000000.0,0.4033934232493575,2.6615005540766337
